pre_site_id,post_site_id,ei_truth,syn_layer
83436122368,83436122369,2,Layer 6
83406183113,83406183110,2,Layer 6
13538653267,13538653268,2,Layer 5
1.21676E+11,1.21676E+11,2,Layer 6
83316434674,83316434675,2,Layer 6
1.53334E+11,1.53334E+11,2,Layer 5
1.21526E+11,1.21526E+11,2,Layer 6
1.21586E+11,1.21586E+11,2,Layer 6
1.56715E+11,1.56685E+11,2,Layer 6
1.18983E+11,1.18983E+11,2,Layer 6
1.21526E+11,1.21526E+11,2,Layer 6
85231646581,85231646582,2,Layer 5
1.92292E+11,1.92292E+11,2,Layer 5
1.53932E+11,1.53932E+11,2,Layer 5
83974734687,83974734688,2,Layer 6
83017232726,83017232727,2,Layer 6
83226634219,83226634218,2,Layer 6
1.18804E+11,1.18804E+11,2,Layer 6
1.53334E+11,1.53334E+11,2,Layer 5
83855012201,83855012202,2,Layer 6
1.57044E+11,1.57044E+11,2,Layer 6
1.56625E+11,6.35386E+11,2,Layer 6
1.18894E+11,6.35392E+11,2,Layer 6
49504872362,49504872361,2,Layer 5
1.57343E+11,1.57343E+11,2,Layer 6
2.58544E+11,2.58544E+11,2,Layer 5
4.01301E+11,4.01301E+11,2,Layer 5
2.58544E+11,2.58544E+11,2,Layer 5
2.94211E+11,2.94211E+11,2,Layer 5
5.08302E+11,5.08302E+11,2,Layer 5
6.15363E+11,6.15363E+11,2,Layer 5
6.35377E+11,6.35372E+11,2,Layer 5
2.22847E+11,2.22847E+11,2,Layer 5
3.65575E+11,3.65575E+11,2,Layer 5
79999780443,79999780442,2,Layer 5
5.08272E+11,5.08272E+11,2,Layer 5
2.22877E+11,2.22877E+11,2,Layer 5
3.29908E+11,3.29908E+11,2,Layer 5
6.15363E+11,6.3539E+11,2,Layer 5
2.64287E+11,2.64287E+11,1,Layer 5
2.29188E+11,6.35398E+11,1,Layer 5
2.99446E+11,2.99446E+11,1,Layer 5
2.29039E+11,2.29039E+11,1,Layer 5
2.63868E+11,2.63868E+11,1,Layer 5
2.63869E+11,2.63869E+11,1,Layer 5
2.99535E+11,2.99535E+11,1,Layer 5
3.7057E+11,3.7057E+11,1,Layer 5
2.64227E+11,2.64227E+11,1,Layer 5
4.06237E+11,4.06237E+11,1,Layer 5
2.29129E+11,6.35382E+11,1,Layer 5
2.29099E+11,2.29099E+11,1,Layer 5
2.99236E+11,2.99236E+11,1,Layer 5
2.28919E+11,6.35397E+11,1,Layer 5
1.9403E+11,1.9403E+11,1,Layer 5
2.28949E+11,2.28949E+11,1,Layer 5
1.94179E+11,1.94179E+11,1,Layer 5
6.35388E+11,6.35419E+11,1,Layer 5
2.29428E+11,6.35383E+11,1,Layer 5
2.99625E+11,2.99625E+11,1,Layer 5
5.13357E+11,5.13357E+11,1,Layer 5
2.64287E+11,2.64287E+11,1,Layer 5
2.29457E+11,2.29457E+11,1,Layer 5
3.7057E+11,3.7057E+11,1,Layer 5
2.2871E+11,6.35408E+11,1,Layer 5
2.29428E+11,2.29428E+11,1,Layer 5
2.63749E+11,2.63749E+11,1,Layer 5
2.64108E+11,2.64108E+11,1,Layer 5
2.99506E+11,2.99506E+11,1,Layer 5
2.99296E+11,2.99296E+11,1,Layer 5
2.64377E+11,2.64377E+11,1,Layer 5
6.35378E+11,6.35376E+11,1,Layer 5
2.29428E+11,2.29428E+11,1,Layer 5
4.41994E+11,4.41994E+11,1,Layer 5
1.58811E+11,1.58811E+11,1,Layer 5
2.99535E+11,2.99535E+11,1,Layer 5
5.13118E+11,5.13118E+11,1,Layer 5
2.96725E+11,2.96725E+11,2,Layer 4
4.39184E+11,4.39214E+11,2,Layer 4
6.35407E+11,6.35411E+11,2,Layer 4
5.46035E+11,5.46035E+11,2,Layer 4
1.56331E+11,6.35393E+11,2,Layer 4
1.89665E+11,1.89665E+11,2,Layer 4
1.1851E+11,1.1851E+11,2,Layer 4
1.90114E+11,1.90114E+11,2,Layer 4
1.54117E+11,1.54117E+11,2,Layer 4
2.25272E+11,2.25272E+11,2,Layer 4
5.46095E+11,5.46095E+11,2,Layer 4
1.18959E+11,1.18959E+11,2,Layer 4
1.89725E+11,1.89725E+11,2,Layer 4
1.54207E+11,1.54207E+11,2,Layer 4
6.35392E+11,1.56331E+11,2,Layer 4
6.35397E+11,1.56331E+11,2,Layer 4
48373074245,48373074246,2,Layer 4
84339137261,84339137260,2,Layer 4
2.97444E+11,2.97444E+11,2,Layer 4
2.25272E+11,2.25272E+11,2,Layer 4
82873101135,82873101136,2,Layer 4
1.90054E+11,1.90054E+11,2,Layer 4
2.25272E+11,2.25272E+11,2,Layer 4
1.89934E+11,1.89934E+11,2,Layer 4
48492744679,48492744680,2,Layer 4
1.89725E+11,1.89725E+11,2,Layer 4
5.10428E+11,5.10428E+11,2,Layer 4
48163620687,48163620688,2,Layer 4
1.54387E+11,1.54387E+11,2,Layer 4
3.67969E+11,3.67969E+11,2,Layer 4
1.54088E+11,1.54088E+11,2,Layer 4
1.1848E+11,1.1848E+11,2,Layer 4
1.1854E+11,1.1854E+11,2,Layer 4
1.1848E+11,1.1848E+11,2,Layer 4
1.1845E+11,1.1845E+11,2,Layer 4
1.1863E+11,1.1863E+11,2,Layer 4
1.53069E+11,1.53069E+11,2,Layer 5
1.88766E+11,1.88766E+11,2,Layer 5
1.53219E+11,1.53219E+11,2,Layer 4
11718529284,11718529285,2,Layer 4
1.54058E+11,1.54058E+11,2,Layer 4
6.35391E+11,82873153197,2,Layer 4
1.186E+11,1.186E+11,2,Layer 4
1.186E+11,1.186E+11,2,Layer 4
1.54087E+11,1.54087E+11,2,Layer 4
46787072911,46787072912,2,Layer 4
11060281382,11060281383,2,Layer 4
11120142576,11120142575,2,Layer 4
11060281394,11060281395,2,Layer 4
1.17612E+11,1.17612E+11,2,Layer 4
1.17792E+11,1.17792E+11,2,Layer 4
1.18361E+11,1.18361E+11,2,Layer 4
1.1857E+11,1.1857E+11,2,Layer 4
1.1863E+11,1.1863E+11,2,Layer 4
1.1863E+11,1.1863E+11,2,Layer 4
1.54087E+11,1.54087E+11,2,Layer 4
6.35401E+11,82424480106,2,Layer 4
1.54057E+11,1.54057E+11,2,Layer 4
1.54057E+11,1.54057E+11,2,Layer 4
1.53129E+11,1.53129E+11,2,Layer 4
1.1848E+11,1.1848E+11,2,Layer 4
1.54028E+11,1.54028E+11,2,Layer 4
82154679982,82154679983,2,Layer 4
1.89665E+11,1.89665E+11,2,Layer 4
1.5298E+11,1.5298E+11,2,Layer 4
1.17762E+11,1.17762E+11,2,Layer 4
82214593128,82214593127,2,Layer 4
46727229041,46727229042,2,Layer 4
11718564008,11718564007,2,Layer 4
1.17552E+11,1.17552E+11,2,Layer 4
10673151138,6.3538E+11,2,Layer 3
10463784293,10463784292,2,Layer 3
46369899418,46369899419,2,Layer 3
2.60372E+11,2.60372E+11,2,Layer 3
81618234726,81618234725,2,Layer 3
46011148276,46011148275,2,Layer 3
2.24525E+11,2.24525E+11,2,Layer 4
1.52653E+11,1.52653E+11,2,Layer 3
1.17046E+11,1.17046E+11,2,Layer 3
1.52444E+11,1.52444E+11,2,Layer 3
1.89127E+11,1.89127E+11,2,Layer 4
10792804211,10792804212,2,Layer 3
10613342008,10613342009,2,Layer 3
10672544371,10672544370,2,Layer 4
1.89217E+11,1.89217E+11,2,Layer 4
2.60312E+11,2.60312E+11,2,Layer 3
11091399464,11091399465,2,Layer 4
1.52503E+11,1.52503E+11,2,Layer 3
2.96039E+11,2.96039E+11,2,Layer 3
10972491890,10972491889,2,Layer 3
10463801623,10463801624,2,Layer 3
1.17076E+11,1.17076E+11,2,Layer 3
2.60312E+11,2.60312E+11,2,Layer 3
45951339069,45951321744,2,Layer 3
1.17674E+11,1.17674E+11,2,Layer 4
6.35395E+11,4.71948E+11,1,Layer 4
4.00525E+11,4.00525E+11,1,Layer 4
4.00525E+11,4.00525E+11,1,Layer 4
48910940941,48910940942,1,Layer 5
4.36341E+11,4.36341E+11,1,Layer 4
4.36341E+11,4.36341E+11,1,Layer 4
1.53937E+11,1.53937E+11,1,Layer 5
2.22907E+11,2.22907E+11,1,Layer 5
2.95706E+11,2.95706E+11,1,Layer 5
4.36401E+11,4.36401E+11,1,Layer 4
1.54625E+11,1.54625E+11,1,Layer 5
2.60189E+11,2.60189E+11,1,Layer 5
3.30506E+11,3.30506E+11,1,Layer 5
84069094436,84069094437,1,Layer 5
4.36401E+11,4.36401E+11,1,Layer 4
5.06747E+11,5.06747E+11,1,Layer 4
5.06568E+11,5.06568E+11,1,Layer 4
4.36371E+11,4.36371E+11,1,Layer 4
1.54056E+11,1.54056E+11,1,Layer 5
4.36461E+11,4.36461E+11,1,Layer 4
1.19377E+11,1.19377E+11,1,Layer 5
3.30327E+11,3.30327E+11,1,Layer 5
4.36401E+11,4.36401E+11,1,Layer 4
3.65635E+11,6.35397E+11,1,Layer 4
3.29161E+11,3.29161E+11,1,Layer 4
1.88616E+11,1.88616E+11,1,Layer 5
3.29161E+11,3.29161E+11,1,Layer 4
4.00525E+11,4.00525E+11,1,Layer 4
1.53966E+11,1.53966E+11,1,Layer 5
4.71679E+11,4.71679E+11,1,Layer 4
2.94391E+11,2.94391E+11,1,Layer 5
3.65665E+11,3.65665E+11,1,Layer 4
4.01332E+11,6.35384E+11,1,Layer 4
5.06418E+11,5.06418E+11,1,Layer 4
2.60668E+11,2.60698E+11,1,Layer 5
13303854516,13303854517,1,Layer 5
5.07136E+11,5.07136E+11,1,Layer 4
2.96036E+11,6.35374E+11,1,Layer 5
3.30387E+11,3.30387E+11,1,Layer 5
1.89514E+11,1.89514E+11,1,Layer 5
4.36281E+11,4.36281E+11,1,Layer 4
2.94361E+11,2.94331E+11,1,Layer 5
2.94331E+11,2.94331E+11,1,Layer 5
1.54176E+11,1.54176E+11,1,Layer 5
1.54176E+11,6.3537E+11,1,Layer 5
1.18748E+11,1.18748E+11,1,Layer 5
3.65844E+11,3.65844E+11,1,Layer 5
1.19227E+11,1.19227E+11,1,Layer 5
2.94361E+11,2.94361E+11,1,Layer 5
2.22907E+11,2.22907E+11,1,Layer 5
1.89514E+11,1.89514E+11,1,Layer 5
13662987034,13662987036,1,Layer 5
5.06747E+11,5.06747E+11,1,Layer 4
3.65635E+11,3.65635E+11,1,Layer 4
3.30297E+11,3.30297E+11,1,Layer 5
1.18838E+11,1.18838E+11,1,Layer 5
1.53966E+11,1.53966E+11,1,Layer 5
1.88705E+11,1.88705E+11,1,Layer 5
2.60189E+11,2.60189E+11,1,Layer 5
1.54206E+11,1.54206E+11,1,Layer 5
48551791142,48551791141,1,Layer 5
3.29161E+11,3.29161E+11,1,Layer 4
4.36371E+11,4.36371E+11,1,Layer 4
4.01272E+11,4.01272E+11,1,Layer 4
3.29161E+11,3.29161E+11,1,Layer 4
3.29161E+11,3.29161E+11,1,Layer 4
5.06358E+11,5.06358E+11,1,Layer 4
1.54774E+11,1.54774E+11,1,Layer 5
4.36371E+11,4.36401E+11,1,Layer 4
4.36192E+11,4.36192E+11,1,Layer 4
1.54715E+11,1.54715E+11,1,Layer 5
1.54685E+11,1.54685E+11,1,Layer 5
4.36192E+11,4.36192E+11,1,Layer 4
2.59711E+11,2.59711E+11,1,Layer 5
48821140500,48821140501,1,Layer 5
1.88316E+11,1.88316E+11,1,Layer 5
83799745083,83799745084,1,Layer 5
4.01272E+11,4.01272E+11,1,Layer 4
13303837175,13303837176,1,Layer 5
4.36311E+11,4.36311E+11,1,Layer 4
48701418111,48701418110,1,Layer 5
4.36192E+11,4.36221E+11,1,Layer 4
48701418107,48701400723,1,Layer 5
5.06418E+11,5.06418E+11,1,Layer 4
1.18838E+11,1.18838E+11,1,Layer 5
2.24851E+11,2.24851E+11,1,Layer 5
1.18928E+11,1.18898E+11,1,Layer 5
84158877532,84158877531,1,Layer 5
5.06418E+11,5.06418E+11,1,Layer 4
4.36401E+11,4.36401E+11,1,Layer 4
1.89544E+11,1.89544E+11,1,Layer 5
3.64798E+11,3.64798E+11,1,Layer 4
4.71709E+11,4.71709E+11,1,Layer 4
3.30387E+11,3.30387E+11,1,Layer 5
5.06717E+11,5.06687E+11,1,Layer 4
84128972939,84128972938,1,Layer 5
83291020129,83291020130,1,Layer 5
4.36341E+11,4.36341E+11,1,Layer 4
84039172488,84039172484,1,Layer 5
83919467489,83919467488,1,Layer 5
3.30088E+11,3.30088E+11,1,Layer 5
2.95198E+11,2.95198E+11,1,Layer 5
3.30117E+11,3.30117E+11,1,Layer 5
12347254079,12347254080,2,Layer 4
3.33111E+11,3.33111E+11,2,Layer 4
6.35417E+11,3.33051E+11,2,Layer 4
1.90921E+11,1.90921E+11,2,Layer 4
1.54895E+11,1.54895E+11,2,Layer 4
1.20036E+11,1.20036E+11,2,Layer 4
47954409817,47954409818,2,Layer 4
81075652703,81075652702,1,Layer 5
1.16593E+11,1.16593E+11,1,Layer 5
81105557274,81105557273,1,Layer 5
1.16623E+11,1.16623E+11,1,Layer 5
80985938903,80985938904,1,Layer 5
81135461893,81135461892,1,Layer 5
3.31164E+11,3.31164E+11,1,Layer 5
3.31164E+11,3.31164E+11,1,Layer 5
3.66951E+11,3.66951E+11,1,Layer 5
3.31254E+11,3.31254E+11,1,Layer 5
3.31194E+11,3.31194E+11,1,Layer 5
3.31194E+11,3.31194E+11,1,Layer 5
3.31284E+11,3.31284E+11,1,Layer 5
3.31254E+11,3.31254E+11,1,Layer 5
3.31284E+11,3.31284E+11,1,Layer 5
3.31224E+11,3.31224E+11,1,Layer 5
3.31284E+11,3.31284E+11,1,Layer 5
3.31194E+11,3.31194E+11,1,Layer 5
3.31254E+11,3.31254E+11,1,Layer 5
3.31254E+11,3.31254E+11,1,Layer 5
12883681845,12883681846,1,Layer 5
12943508376,6.35406E+11,1,Layer 5
12793968045,12793968046,1,Layer 5
12764046109,12764046110,1,Layer 5
12764063471,12764063470,1,Layer 5
12764063475,12764063474,1,Layer 5
12823872641,12823872638,1,Layer 5
12883699181,12883699180,1,Layer 5
12853794606,12853794605,1,Layer 5
12793985397,12793985398,1,Layer 5
12913569121,12913569122,1,Layer 5
1.15397E+11,1.15397E+11,1,Layer 5
1.15487E+11,6.35401E+11,1,Layer 5
1.15427E+11,1.15427E+11,1,Layer 5
1.15427E+11,1.15427E+11,1,Layer 5
1.15397E+11,1.15397E+11,1,Layer 5
1.15457E+11,1.15457E+11,1,Layer 5
1.15487E+11,6.35399E+11,1,Layer 5
1.15397E+11,1.15397E+11,1,Layer 5
1.15427E+11,1.15427E+11,1,Layer 5
1.18956E+11,1.18956E+11,1,Layer 5
1.18986E+11,1.18986E+11,1,Layer 5
1.54683E+11,6.35378E+11,1,Layer 5
1.54803E+11,1.54803E+11,1,Layer 5
1.54773E+11,1.54773E+11,1,Layer 5
1.54713E+11,1.54713E+11,1,Layer 5
1.18956E+11,1.18956E+11,1,Layer 5
1.54713E+11,1.54713E+11,1,Layer 5
1.19016E+11,1.19016E+11,1,Layer 5
1.54743E+11,6.35401E+11,1,Layer 5
1.54713E+11,1.54713E+11,1,Layer 5
1.19016E+11,1.19016E+11,1,Layer 5
1.18986E+11,1.18986E+11,1,Layer 5
3.30925E+11,3.30925E+11,1,Layer 5
83020890547,6.35401E+11,1,Layer 5
82990968607,82990968609,1,Layer 5
82961064022,82961064023,1,Layer 5
1.18568E+11,1.18568E+11,1,Layer 5
5.12131E+11,5.12131E+11,1,Layer 5
3.32121E+11,3.32121E+11,1,Layer 5
3.323E+11,3.323E+11,1,Layer 5
3.32151E+11,3.32151E+11,1,Layer 5
3.32091E+11,3.32091E+11,1,Layer 5
1.16324E+11,1.16324E+11,1,Layer 5
1.16265E+11,1.16265E+11,1,Layer 5
1.19974E+11,1.19974E+11,1,Layer 5
1.20034E+11,1.20034E+11,1,Layer 5
1.55611E+11,1.55611E+11,1,Layer 5
1.19974E+11,1.19974E+11,1,Layer 5
1.55611E+11,1.55611E+11,1,Layer 5
1.20064E+11,1.20064E+11,1,Layer 5
1.55581E+11,1.55581E+11,1,Layer 5
1.20064E+11,1.20064E+11,1,Layer 5
1.55552E+11,1.55552E+11,1,Layer 5
1.20124E+11,1.20124E+11,1,Layer 5
1.20094E+11,1.20094E+11,1,Layer 5
1.20004E+11,1.20004E+11,1,Layer 5
82872165015,82872165016,1,Layer 5
82961896164,82961896161,1,Layer 5
82961896157,82961896159,1,Layer 5
82812355821,82812355820,1,Layer 5
6.35383E+11,4.73832E+11,1,Layer 5
4.73922E+11,4.73922E+11,1,Layer 5
2.61743E+11,2.61743E+11,1,Layer 5
6.35398E+11,6.35395E+11,1,Layer 5
83618029012,83618029011,1,Layer 5
47951081400,47951081399,1,Layer 5
1.19345E+11,1.19345E+11,1,Layer 5
1.19285E+11,1.19315E+11,1,Layer 5
1.16474E+11,1.16474E+11,1,Layer 5
1.16564E+11,1.16564E+11,1,Layer 5
1.16504E+11,1.16504E+11,1,Layer 5
1.16713E+11,1.16713E+11,1,Layer 5
1.16534E+11,1.16534E+11,1,Layer 5
1.16534E+11,6.35378E+11,1,Layer 5
1.16594E+11,1.16594E+11,1,Layer 5
81136189983,81136189984,1,Layer 5
81076380816,81076380817,1,Layer 5
5.12281E+11,5.12281E+11,1,Layer 5
4.37358E+11,4.37358E+11,1,Layer 4
4.72995E+11,4.72995E+11,1,Layer 4
4.72935E+11,4.72935E+11,1,Layer 4
4.72905E+11,4.72905E+11,1,Layer 4
4.37418E+11,6.3537E+11,1,Layer 5
4.72995E+11,4.72995E+11,1,Layer 4
2.61386E+11,2.61386E+11,1,Layer 5
4.41635E+11,4.41635E+11,1,Layer 5
81076380812,81076380818,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
3.33857E+11,3.33857E+11,1,Layer 5
2.62493E+11,2.62493E+11,1,Layer 5
2.9822E+11,2.9822E+11,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
48130924992,48130924993,1,Layer 5
48160846931,48160846932,1,Layer 5
12613552305,12613534968,1,Layer 5
48190751509,48190768857,1,Layer 5
48160846914,48160846915,1,Layer 5
48130942317,48130942316,1,Layer 5
12643456922,12613534955,1,Layer 5
1.52289E+11,1.52289E+11,1,Layer 5
1.52289E+11,1.52289E+11,1,Layer 5
1.52259E+11,1.52259E+11,1,Layer 5
6.35396E+11,1.52259E+11,1,Layer 5
1.52319E+11,1.52319E+11,1,Layer 5
1.52349E+11,1.52349E+11,1,Layer 5
1.15576E+11,1.15576E+11,1,Layer 5
1.53996E+11,1.53996E+11,1,Layer 5
1.53966E+11,1.53966E+11,1,Layer 5
1.54055E+11,1.54055E+11,1,Layer 5
2.62343E+11,2.62343E+11,1,Layer 5
2.981E+11,2.981E+11,1,Layer 5
2.9795E+11,2.9795E+11,1,Layer 5
2.9792E+11,2.9792E+11,1,Layer 5
2.9792E+11,2.9792E+11,1,Layer 5
2.62283E+11,6.3537E+11,1,Layer 5
2.9822E+11,2.9822E+11,1,Layer 5
2.62582E+11,2.62582E+11,1,Layer 5
2.62343E+11,2.62343E+11,1,Layer 5
1.56359E+11,1.56359E+11,1,Layer 5
1.56209E+11,6.3541E+11,1,Layer 5
1.56209E+11,6.35413E+11,1,Layer 5
1.87717E+11,1.87717E+11,1,Layer 5
1.87717E+11,1.87717E+11,1,Layer 5
11955200404,11955200403,1,Layer 5
44960621355,44960621354,1,Layer 5
44990543318,44990543319,1,Layer 5
4.06866E+11,4.06866E+11,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
2.62523E+11,2.62523E+11,1,Layer 5
4.04712E+11,4.04712E+11,1,Layer 5
4.04742E+11,4.04742E+11,1,Layer 5
4.04802E+11,4.04802E+11,1,Layer 5
4.04712E+11,4.04712E+11,1,Layer 5
2.98249E+11,2.98249E+11,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
2.981E+11,2.981E+11,1,Layer 5
4.39003E+11,4.39003E+11,1,Layer 5
3.69702E+11,3.69702E+11,1,Layer 5
3.69702E+11,3.69702E+11,1,Layer 5
3.69672E+11,3.69672E+11,1,Layer 5
12015044301,12015044300,1,Layer 5
1.16802E+11,1.16802E+11,1,Layer 5
1.16653E+11,1.16653E+11,1,Layer 5
1.16713E+11,6.35373E+11,1,Layer 5
46875157171,46875157170,1,Layer 5
46815313348,46815330652,1,Layer 5
46905079113,46905079112,1,Layer 5
82452356364,6.35377E+11,1,Layer 5
46994844891,46994844890,1,Layer 5
46964922948,46964922949,1,Layer 5
48520256930,48520256938,1,Layer 5
4.04683E+11,4.04683E+11,1,Layer 5
4.04712E+11,4.04712E+11,1,Layer 5
4.04683E+11,4.04683E+11,1,Layer 5
4.04712E+11,4.04712E+11,1,Layer 5
3.33588E+11,3.33588E+11,1,Layer 5
3.69075E+11,3.69075E+11,1,Layer 5
3.69045E+11,3.69045E+11,1,Layer 5
4.04712E+11,4.04712E+11,1,Layer 5
80747482147,80747482146,1,Layer 5
80777386727,6.35393E+11,1,Layer 5
80687690524,6.35371E+11,1,Layer 5
80717560232,80717560231,1,Layer 5
80717577556,80717577555,1,Layer 5
1.52349E+11,1.52349E+11,1,Layer 5
82961913483,6.35381E+11,1,Layer 5
4.40228E+11,4.40228E+11,1,Layer 5
5.09917E+11,5.09917E+11,1,Layer 5
5.09797E+11,5.09797E+11,1,Layer 5
5.10037E+11,5.10037E+11,1,Layer 5
6.35375E+11,5.09768E+11,1,Layer 5
5.09887E+11,5.09887E+11,1,Layer 5
5.09857E+11,5.09857E+11,1,Layer 5
5.09857E+11,5.09857E+11,1,Layer 5
1.52798E+11,1.52798E+11,1,Layer 5
1.52828E+11,6.354E+11,1,Layer 5
1.52768E+11,1.52768E+11,1,Layer 5
1.52798E+11,1.52798E+11,1,Layer 5
1.52768E+11,1.52768E+11,1,Layer 5
1.19017E+11,1.19017E+11,1,Layer 5
1.19047E+11,1.19047E+11,1,Layer 5
2.5986E+11,2.5986E+11,1,Layer 5
4.41425E+11,4.41425E+11,1,Layer 5
2.60908E+11,2.60908E+11,1,Layer 5
2.60788E+11,2.60788E+11,1,Layer 5
2.25151E+11,2.60818E+11,1,Layer 5
4.73892E+11,4.73892E+11,1,Layer 5
4.73922E+11,4.73922E+11,1,Layer 5
4.38315E+11,4.38315E+11,1,Layer 5
4.73892E+11,4.73892E+11,1,Layer 5
6.35407E+11,6.35406E+11,1,Layer 5
1.19645E+11,1.19645E+11,1,Layer 5
1.52171E+11,1.52171E+11,1,Layer 5
4.37537E+11,4.37537E+11,1,Layer 5
3.69105E+11,3.69135E+11,1,Layer 5
6.35375E+11,6.35388E+11,1,Layer 5
3.69165E+11,3.69165E+11,1,Layer 5
2.27753E+11,2.27753E+11,1,Layer 5
1.55252E+11,1.55222E+11,1,Layer 5
45410074492,45410074493,1,Layer 5
45469883642,45469883641,1,Layer 5
45469866321,45469866322,1,Layer 5
45350265298,45350265297,1,Layer 5
45380169861,45380169862,1,Layer 5
45410057117,45410057116,1,Layer 5
45320360664,45320360667,1,Layer 5
2.61114E+11,2.61114E+11,1,Layer 5
4.37746E+11,4.37746E+11,1,Layer 5
4.37657E+11,4.37657E+11,1,Layer 5
4.37717E+11,4.37717E+11,1,Layer 5
4.73264E+11,4.73264E+11,1,Layer 5
4.37687E+11,4.37687E+11,1,Layer 5
3.6728E+11,3.6728E+11,1,Layer 5
3.6728E+11,3.6728E+11,1,Layer 5
3.6728E+11,3.6728E+11,1,Layer 5
3.6734E+11,3.6734E+11,1,Layer 5
3.6737E+11,3.6734E+11,1,Layer 5
5.12939E+11,5.12939E+11,1,Layer 5
2.95378E+11,2.95378E+11,1,Layer 5
3.30925E+11,3.30925E+11,1,Layer 5
82840249482,82840266807,1,Layer 5
82750552955,82750552956,1,Layer 5
6.35385E+11,6.35376E+11,1,Layer 5
82810362191,82810362192,1,Layer 5
82961913477,6.3541E+11,1,Layer 5
84426632134,84426632133,1,Layer 5
48879302843,48879302842,1,Layer 5
84486441295,84486441294,1,Layer 5
84516345902,84516345901,1,Layer 5
84426614803,84426614805,1,Layer 5
4.77212E+11,4.77212E+11,1,Layer 5
47712485949,47712485948,1,Layer 5
47742390535,47742390536,1,Layer 5
47682581336,47682581337,1,Layer 5
3.68385E+11,3.68385E+11,1,Layer 5
2.9819E+11,2.9819E+11,1,Layer 5
5.47528E+11,5.47528E+11,1,Layer 5
2.62401E+11,2.62401E+11,1,Layer 5
2.26734E+11,2.26734E+11,1,Layer 5
3.32421E+11,3.32421E+11,1,Layer 5
1.1779E+11,1.1779E+11,1,Layer 5
1.1782E+11,1.1782E+11,1,Layer 5
3.71858E+11,3.71858E+11,1,Layer 5
1.88317E+11,1.88317E+11,1,Layer 5
1.88287E+11,1.88287E+11,1,Layer 5
6.35391E+11,6.3539E+11,1,Layer 5
3.66472E+11,3.66472E+11,1,Layer 5
1.89873E+11,1.89873E+11,1,Layer 5
3.67908E+11,3.67908E+11,1,Layer 5
4.38853E+11,6.35401E+11,1,Layer 5
4.73264E+11,4.73264E+11,1,Layer 4
1.90919E+11,1.90919E+11,1,Layer 5
2.95378E+11,2.95378E+11,1,Layer 5
3.32718E+11,3.32718E+11,1,Layer 5
3.01541E+11,3.01541E+11,1,Layer 5
6.35387E+11,2.61025E+11,1,Layer 5
1.87687E+11,1.87657E+11,1,Layer 5
1.87777E+11,1.87777E+11,1,Layer 5
4.40886E+11,4.40886E+11,1,Layer 5
2.62822E+11,2.62822E+11,1,Layer 5
2.62762E+11,2.62762E+11,1,Layer 5
5.12281E+11,5.12281E+11,1,Layer 5
